               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.019063,             0.02437,                   0,             0.92592,             0.75753,             0.85263,             0.59374,            0.013381,           0.0079309,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.015141,            0.020472,                   0,             0.89258,             0.75758,             0.84541,             0.60357,            0.012819,           0.0078855,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.016055,            0.018587,                   0,              0.8665,             0.78788,              0.8224,              0.5801,            0.013677,           0.0079791,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.016151,            0.022011,                   0,             0.89533,             0.78788,             0.85042,             0.61318,            0.013044,           0.0079557,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.015376,            0.020069,                   0,             0.89653,             0.78788,             0.84529,             0.62246,             0.01351,           0.0081305,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.018479,            0.020656,                   0,             0.92848,             0.78678,             0.84763,             0.62141,            0.013321,           0.0082297,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.018076,            0.020152,                   0,                   1,             0.72635,             0.85246,             0.61048,            0.013354,           0.0083975,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.017008,            0.017333,                   0,             0.89616,             0.78788,             0.84638,             0.59371,            0.014229,           0.0084173,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.017417,            0.024869,                   0,             0.93043,             0.81818,             0.85027,             0.59592,            0.013681,           0.0083368,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.016415,            0.018252,                   0,             0.87013,             0.81818,             0.85627,             0.61034,            0.013118,           0.0082364,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.015162,            0.017875,                   0,             0.87493,             0.84797,             0.85446,             0.61439,            0.013443,           0.0082897,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.015725,            0.015555,                   0,             0.84345,             0.81818,             0.83586,             0.63695,            0.012858,           0.0083917,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.016459,            0.021514,                   0,             0.92855,             0.78766,              0.8487,             0.62327,            0.012787,           0.0084536,                   0,           0.0014283,           0.0014283,           0.0014283
